cluster,lag_s,sum_player,sum_centroid,sum_relative,sum_cross,n_pairs
2020-07-11__1H__rosenborg__A,32.0,16182479.238170367,12611237.058630992,3576739.2572972225,-5497.07775785093,28482
2020-07-11__1H__rosenborg__A,33.0,16492861.241171807,12863759.641011512,3635039.6255271314,-5938.025366830232,28471
2020-07-11__1H__rosenborg__A,34.0,16796047.379345782,13110897.956679514,3691429.680821239,-6280.258154967974,28460
2020-07-11__1H__rosenborg__A,35.0,17092811.60641448,13353531.679877039,3745837.4654315687,-6557.538894133177,28449
2020-07-11__1H__rosenborg__A,36.0,17383436.531983048,13592171.031985171,3798089.5538299046,-6824.053832029516,28438
2020-07-11__1H__rosenborg__A,37.0,17667786.450430818,13827105.18034007,3847820.785435963,-7139.515345216554,28427
2020-07-11__1H__rosenborg__A,38.0,17945736.200442184,14058595.226455402,3894631.9423368117,-7490.9683500278625,28416
2020-07-11__1H__rosenborg__A,39.0,18217626.185738117,14287026.457571369,3938476.3492502887,-7876.6210835393285,28405
2020-07-11__1H__rosenborg__A,40.0,18483696.081889242,14512564.845027577,3979463.631571199,-8332.394709535583,28394
2020-07-11__1H__rosenborg__A,41.0,18743793.729145456,14734861.266226768,4017845.5073785614,-8913.044459881028,28383
2020-07-11__1H__rosenborg__A,42.0,18997580.873638645,14953319.706225041,4053860.4611709835,-9599.29375737661,28372
2020-07-11__1H__rosenborg__A,43.0,19244825.918716524,15167543.625242868,4087598.085208313,-10315.79173466051,28361
2020-07-11__1H__rosenborg__A,44.0,19485984.30100115,15377751.214138357,4119187.829884075,-10954.743021277885,28350
2020-07-11__1H__rosenborg__A,45.0,19722229.645935137,15584694.645291885,4148931.381207842,-11396.380564590276,28339
2020-07-11__1H__rosenborg__A,46.0,19955210.24361079,15789653.590067431,4177122.5966974036,-11565.94315404282,28328
2020-07-11__1H__rosenborg__A,47.0,20185708.686805893,15993243.773416866,4204011.114717564,-11546.201328535797,28317
2020-07-11__1H__rosenborg__A,48.0,20413230.905587576,16195070.56758519,4229570.545154573,-11410.207152189338,28306
2020-07-11__1H__rosenborg__A,49.0,20637028.095363855,16395331.653212806,4253340.823951421,-11644.381800367031,28295
2020-07-11__1H__rosenborg__A,50.0,20855820.005359776,16592331.707406169,4275262.733543215,-11774.435589607921,28284
2020-07-11__1H__rosenborg__A,51.0,21067171.1156444,16783779.67680324,4295302.464649941,-11911.025808784761,28273
2020-07-11__1H__rosenborg__A,52.0,21268549.513711665,16967092.995251473,4313547.991931035,-12091.4734708459,28262
2020-07-11__1H__rosenborg__A,53.0,21457958.325153627,17140476.89263022,4329791.946020502,-12310.51349709509,28251
2020-07-11__1H__rosenborg__A,54.0,21634744.295132324,17303414.402373467,4343935.740262203,-12605.847503345809,28240
2020-07-11__1H__rosenborg__A,55.0,21799775.853250958,17456517.92972803,4356202.556088673,-12944.6325657501,28229
2020-07-11__1H__rosenborg__A,56.0,21955383.700445645,17601343.808308262,4367270.389139281,-13230.49700189376,28218
2020-07-11__1H__rosenborg__A,57.0,22104353.67111902,17739691.80191704,4378078.402306256,-13416.53310427611,28207
2020-07-11__1H__rosenborg__A,58.0,22248497.83129113,17872646.505762696,4389331.863137232,-13480.537608795159,28196
2020-07-11__1H__rosenborg__A,59.0,22387985.607239388,17999913.29870314,4401369.501884068,-13297.193347827124,28185
2020-07-11__1H__rosenborg__A,60.0,22521113.327900156,18120115.73205531,4413789.949743126,-12792.353898285539,28174
2020-07-11__2H__rosenborg__A,1.0,131418.19844483183,78755.7344838564,54203.810462418776,-1541.3465014433366,30683
2020-07-11__2H__rosenborg__A,2.0,493073.6555795405,301595.2821313425,193922.177028447,-2443.803580249163,30667
2020-07-11__2H__rosenborg__A,3.0,1025825.3575625839,643168.4306801128,385344.34847502294,-2687.421592551933,30651
2020-07-11__2H__rosenborg__A,4.0,1676599.1443117927,1075792.510920624,603136.0493677309,-2329.4159765624154,30635
2020-07-11__2H__rosenborg__A,5.0,2404680.8487907387,1574485.6827625611,831656.1874828066,-1461.0214546283642,30619
