track_type,k,tau_s,weighted_msd,n_pairs,n_entities,msd_m2
player_rel,77,77.05724268644872,226679803.41580433,969421,483,233.8300938558215
player_rel,78,78.05791501184247,227170021.37129924,968887,483,234.46492869787627
player_rel,79,79.05860161101941,227650743.817543,968353,483,235.0906578670619
player_rel,80,80.05930299425538,228123763.41087276,967819,483,235.70911855509425
player_rel,81,81.06014421909242,228587684.42067364,967285,482,236.31885578777056
player_rel,82,82.06087832301775,229041985.8869728,966752,482,236.91907116506903
player_rel,83,83.06162893282723,229487165.19971743,966219,482,237.51050765894422
player_rel,84,84.06239667026078,229925304.8278403,965686,482,238.09530719906917
player_rel,85,85.06318218922048,230351006.49817127,965153,482,238.66786561112204
player_rel,86,86.06393724654612,230771390.6428443,964620,482,239.23554419651705
player_rel,87,87.0647111896034,231181309.2210089,964087,482,239.79299505232296
player_rel,88,88.06550477923437,231580923.89945662,963554,482,240.34036898757788
player_rel,89,89.06631881794863,231966256.07490775,963021,482,240.8735178930758
player_rel,90,90.06715415281867,232337010.01884517,962488,482,241.39211088226054
player_rel,91,91.06801167862025,232692875.93860114,961955,482,241.89580171484232
player_rel,92,92.06889234124218,233034451.37265238,961422,482,242.38518712142263
player_rel,93,93.06979714139285,233363349.36131743,960889,482,242.86192199236064
player_rel,94,94.07072713863448,233680136.0692622,960356,482,243.32657480065956
player_rel,95,95.07168345577867,233985340.2573997,959823,482,243.7796763126115
player_rel,96,96.07266728368245,234284543.811759,959290,482,244.2270260419258
player_rel,97,97.07259992777092,234579164.97898543,958758,482,244.66983845661306
player_rel,98,98.07253216131507,234872574.3187423,958226,482,245.11187790640443
player_rel,99,99.0724639806556,235165594.13670143,957694,482,245.5540017340627
player_rel,100,100.072395382091,235461411.57080433,957162,482,245.99953985929687
player_rel,101,101.07232636187706,235762255.47729948,956630,482,246.4508278825664
player_rel,102,102.07225691622618,236065419.57589412,956098,482,246.90504485512375
player_rel,103,103.072187041307,236369391.60009944,955566,482,247.36061308177503
player_rel,104,104.07211673324366,236671920.29083818,955034,482,247.8151775652366
