heldout_physical_match_id,state_definition,hazard_model,log_likelihood_train,n_fit_intervals,n_fit_deaths,optimizer_success,optimizer_message,mu,a0,phi_low,phi_mid,phi_high,q,tc,tau_q
2021__2021-06-22,S0_raw,age_only,-160730.50216270157,342023,67061,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.3311654906212922,2.54800074740952,1.0,1.0,1.0,0.0,25.0,5.0
2021__2021-06-22,S0_raw,age_order,-158996.38520418332,342023,67061,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.9139554243023924,4.763710498022151,1.305311984553137,1.0,0.6687477354289906,0.0,25.0,5.0
2021__2021-06-22,S0_raw,full,-158530.37080317203,342023,67061,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL; late residual fitted on training-only age+order base,1.9139554243023924,4.763710498022151,1.305311984553137,1.0,0.6687477354289906,0.103315233821208,20.0,4.999999999999999
2021__2021-06-26,S0_raw,age_only,-163393.31974215384,347415,68186,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.333060385964932,2.552609250184822,1.0,1.0,1.0,0.0,25.0,5.0
2021__2021-06-26,S0_raw,age_order,-161645.3700254187,347415,68186,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.914869644559112,4.771702625516872,1.3063104207383305,1.0,0.6711440304516284,0.0,25.0,5.0
2021__2021-06-26,S0_raw,full,-161170.0591907876,347415,68186,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH; late residual fitted on training-only age+order base,1.914869644559112,4.771702625516872,1.3063104207383305,1.0,0.6711440304516284,0.103843957093177,20.0,4.999999999999999
2021__2021-06-30,S0_raw,age_only,-160985.790282217,342109,67235,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.3327456036358254,2.546328949693168,1.0,1.0,1.0,0.0,25.0,5.0
2021__2021-06-30,S0_raw,age_order,-159259.02146790354,342109,67235,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.9106101259803296,4.758950047618059,1.3097011264583551,1.0,0.6727770614801929,0.0,25.0,5.0
2021__2021-06-30,S0_raw,full,-158788.86007752447,342109,67235,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL; late residual fitted on training-only age+order base,1.9106101259803296,4.758950047618059,1.3097011264583551,1.0,0.6727770614801929,0.1042009561844677,20.0,4.999999999999999
2021__2021-07-04,S0_raw,age_only,-160884.74252012468,342094,67157,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.3287785337570968,2.536330067457349,1.0,1.0,1.0,0.0,25.0,5.0
2021__2021-07-04,S0_raw,age_order,-159158.2034601287,342094,67157,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.913645714109517,4.756187950569263,1.3046035113104684,1.0,0.6688791542380608,0.0,25.0,5.0
2021__2021-07-04,S0_raw,full,-158686.45115061448,342094,67157,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL; late residual fitted on training-only age+order base,1.913645714109517,4.756187950569263,1.3046035113104684,1.0,0.6688791542380608,0.1043338382051093,20.0,4.999999999999999
2021__2021-07-10,S0_raw,age_only,-160672.07552756253,342186,67000,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.3271985175345944,2.5383988003488587,1.0,1.0,1.0,0.0,25.0,5.0
2021__2021-07-10,S0_raw,age_order,-158916.11524961688,342186,67000,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.9116629927287416,4.783853768565895,1.3128471260394594,1.0,0.6691418779903036,0.0,25.0,5.0
2021__2021-07-10,S0_raw,full,-158451.3915884897,342186,67000,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL; late residual fitted on training-only age+order base,1.9116629927287416,4.783853768565895,1.3128471260394594,1.0,0.6691418779903036,0.1029569588714241,20.0,4.999999999999999
2021__2021-07-17,S0_raw,age_only,-163366.72481563422,347405,68225,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.3286161594359998,2.5333076252130167,1.0,1.0,1.0,0.0,25.0,5.0
2021__2021-07-17,S0_raw,age_order,-161602.9854690468,347405,68225,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.908909897146224,4.744463845544384,1.3079333009948797,1.0,0.6697866306757938,0.0,25.0,5.0
