panel,value_col,early_order_state,threshold,survival,n_surviving_at_threshold,n_runs,ci_low_95,ci_high_95,ci_type,bootstrap_B,bootstrap_n_clusters,bootstrap_cluster_cols
B. Length survivor by order state,run_length_m,Mid,51.758254336727106,0.004578833693304535,106,23150,0.0036918925364998805,0.0056060601126551885,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Mid,53.34444978474983,0.004060475161987041,94,23150,0.003224362724580087,0.00512175050234508,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,High,1.0,0.884411040559803,20475,23151,0.8798335643145815,0.8887833143958621,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,High,2.586195448022722,0.6999265690466935,16204,23151,0.6941813648285657,0.7059380469858978,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,High,4.172390896045444,0.630210358083884,14590,23151,0.623541867548359,0.6373753692757349,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,High,5.758586344068166,0.5698241976588484,13192,23151,0.5629896852295243,0.5771581981706049,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,High,7.344781792090888,0.5112954084056844,11837,23151,0.5043564552986948,0.5187184953039992,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,High,8.93097724011361,0.4608440240162412,10669,23151,0.453507253736622,0.46864008760850806,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,High,10.517172688136332,0.41635350524815345,9639,23151,0.4086255529235379,0.42458559092116216,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,High,12.103368136159055,0.36732754524642564,8504,23151,0.3588830032430465,0.37624364197286714,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,High,13.689563584181776,0.3280203878882122,7594,23151,0.3190555129545024,0.3377221201331108,cluster_bootstrap_95,500,66,"season,match_id,team"
